k,c_azimuthal_selected,selected_mode_index,selected_overlap,c_theta_pi_over_2_bessel,c_theta_pi_over_2_ntd,rel_diff_azimuthal_vs_theta_pi_over_2,rel_diff_ntd_vs_bessel
0.05,0.7074665453875979,0.0,0.9999999998933372,1.0381444161870095,1.0381444161870095,-0.31852781332095886,0.0
0.11764705882352941,0.7079184630211811,0.0,0.9999999967914892,1.0390038193769517,1.039003819376952,-0.3186565344430678,2.1370913252097804e-16
0.18529411764705883,0.7087340007786918,0.0,0.9999999802852645,1.0405545574795807,1.0405545574795805,-0.3188881873763745,-2.133906418735652e-16
0.2529411764705882,0.7099113341423158,0.0,0.9999999314887399,1.0427928266505204,1.0427928266505206,-0.31922111852018514,2.1293261638387442e-16
0.3205882352941176,0.7114478379809132,0.0,0.9999998228987538,1.0457131753379887,1.0457131753379887,-0.3196529844324056,0.0
0.388235294117647,0.7133401175633935,0.0,0.9999996181959004,1.0493085588292146,1.0493085588292146,-0.3201807880426364,0.0
0.45588235294117646,0.715584007342459,0.0,0.9999992719838791,1.0535704085166073,1.0535704085166073,-0.3208009625574262,0.0
0.5235294117647059,0.7181746139576716,0.0,0.9999987294669016,1.058488714303182,1.0584887143031818,-0.3215094273060285,-2.0977512742892718e-16
0.5911764705882353,0.7211063990959213,0.0,0.9999979260683838,1.0640521183265086,1.0640521183265086,-0.3223016178661965,0.0
0.6588235294117647,0.7243731401935329,0.0,0.9999967869870248,1.07024801801055,1.07024801801055,-0.32317264035672116,0.0
0.7264705882352941,0.7279680269082928,0.0,0.9999952266965738,1.0770626763581503,1.0770626763581501,-0.32411730265340183,-2.061575522009788e-16
0.7941176470588235,0.7318836960725199,0.0,0.9999931483808626,1.0844813373716702,1.0844813373716702,-0.3251302066236563,0.0
0.861764705882353,0.736112264708983,0.0,0.9999904433150939,1.0924883445305862,1.0924883445305862,-0.32620584155955334,0.0
0.9294117647058824,0.7406453991305347,0.0,0.999986990184599,1.1010672603547427,1.101067260354743,-0.32733864151776426,2.0166307084046148e-16
0.9970588235294118,0.7454743435689946,0.0,0.9999826543486972,1.110200985230593,1.1102009852305932,-0.32852307511314566,2.0000397034318232e-16
1.0647058823529412,0.7505899894321497,0.0,0.9999772870448074,1.1198718738638,1.1198718738638,-0.3297536915161089,0.0
1.1323529411764706,0.7559829053706325,0.0,0.999970724534078,1.1300618479339521,1.1300618479339517,-0.33102519410529035,-3.9297779202259906e-16
1.2,0.7616433942331889,0.0,0.9999627871949849,1.1407525037542077,1.1407525037542077,-0.332332480773326,0.0
